buildingname,buildingaddress,buildingtype,buildingsize,greenmarkyearaward,greenmarkrating,greenmarkstatus,grossfloorarea,2018energyuseintensity,2019energyusintensity,voluntarydisclosure
ICON@CHANGI,"228 CHANGI ROAD, SINGAPORE 419741",Commercial Building,Small,N/A,N/A,No,"5,295",34,31,Y
SCHOOL OF PHYSICAL EDUCATION SWIMMING COMPLEX,"21 EVANS ROAD, SINGAPORE 259366",Commercial Building,Small,N/A,N/A,No,"9,436",36,36,Y
N/A,"1 MARYMOUNT LANE, SINGAPORE 574029",Commercial Building,Small,N/A,N/A,No,"6,342",64,52,Y
YUHUA COMMUNITY CLUB,"90 BOON LAY WAY, SINGAPORE 609958",Commercial Building,Small,N/A,N/A,No,"5,834",51,53,Y
N/A,"50 BUANGKOK DRIVE, SINGAPORE 545064",Commercial Building,Small,N/A,N/A,No,"7,574",54,53,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,50,53,N
SULTAN-LINK,"57 MOHAMED SULTAN ROAD, SINGAPORE 238997",Commercial Building,Small,2011,Certified,Yes,"2,853",134,56,Y
N/A,"397 LORONG 2 TOA PAYOH, SINGAPORE 319639",Commercial Building,Small,N/A,N/A,No,"4,179",55,56,Y
SINGAPORE BOYS' HOME,"30 JURONG WEST STREET 24, SINGAPORE 649696",Commercial Building,Small,N/A,N/A,No,"13,101",65,66,Y
JTC LAUNCHPAD @ JURONG INNOVATION DISTRICT,"2 CLEANTECH LOOP, SINGAPORE 637144",Commercial Building,Small,2017,Platinum,Yes,"5,382",39,66,Y
EASTGATE,"46 EAST COAST ROAD, SINGAPORE 428766",Commercial Building,Small,N/A,N/A,No,"7,386",77,67,Y
ICB ENTERPRISE HOUSE,"116 MIDDLE ROAD, SINGAPORE 188972",Commercial Building,Small,N/A,N/A,No,"6,421",70,72,Y
UNITED HOUSE,"20 KRAMAT LANE, SINGAPORE 228773",Commercial Building,Small,N/A,N/A,No,"5,099",75,73,Y
N/A,"101 BUKIT PANJANG ROAD, SINGAPORE 679910",Commercial Building,Small,2011,Certified,Yes,"13,855",N/A,85,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,67,87,N
N/A,"10 SCIENCE CENTRE ROAD, SINGAPORE 609079",Commercial Building,Small,2015,Certified,Yes,"7,043",79,88,Y
SWIBER@IBP,"12 INTERNATIONAL BUSINESS PARK, SINGAPORE 609920",Commercial Building,Small,N/A,N/A,No,"10,841",85,89,Y
REGISTRY OF MARRIAGES,"7 CANNING RISE, SINGAPORE 179869",Commercial Building,Small,2012,Gold,Yes,"5,055",85,90,Y
SULTAN-LINK,"63 MOHAMED SULTAN ROAD, SINGAPORE 239002",Commercial Building,Small,2011,Certified,Yes,"1,063",141,94,Y
N/A,"36 ARMENIAN STREET, SINGAPORE 179934",Commercial Building,Small,2009,Certified,Yes,"5,901",111,97,Y
IQUEST,"27 INTERNATIONAL BUSINESS PARK, SINGAPORE 609924",Commercial Building,Small,N/A,N/A,No,"8,677",106,97,Y
223 @ MOUNTBATTEN,"223 MOUNTBATTEN ROAD, SINGAPORE 398008",Commercial Building,Small,N/A,N/A,No,"11,735",95,99,Y
N/A,"90 EU TONG SEN STREET, SINGAPORE 059811",Commercial Building,Small,N/A,N/A,No,"8,906",76,103,Y
THONG TECK BUILDING,"15 SCOTTS ROAD, SINGAPORE 228218",Commercial Building,Small,N/A,N/A,No,"11,481",102,104,Y
MAXWELL CHAMBERS SUITES,"28 MAXWELL ROAD, SINGAPORE 069120",Commercial Building,Small,2019,Certified,Yes,"6,266",N/A,106,Y
VIVA VISTA,"3 SOUTH BUONA VISTA ROAD, SINGAPORE 118136",Commercial Building,Small,N/A,N/A,No,"9,014",107,107,Y
CES CENTRE,"171 CHIN SWEE ROAD, SINGAPORE 169877",Commercial Building,Small,2016,Certified,Yes,"12,253",113,108,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,45,108,N
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,112,109,N
THE OXLEY,"9 OXLEY RISE, SINGAPORE 238697",Commercial Building,Small,N/A,N/A,No,"7,387",105,111,Y
MEWAH BUILDING,"5 INTERNATIONAL BUSINESS PARK, SINGAPORE 609914",Commercial Building,Small,N/A,N/A,No,"7,433",110,114,Y
SULTAN-LINK,"55 MOHAMED SULTAN ROAD, SINGAPORE 238995",Commercial Building,Small,2011,Certified,Yes,757,108,116,Y
FAMILY LINK @ LENGKOK BAHRU,"8 LENGKOK BAHRU, SINGAPORE 159052",Commercial Building,Small,2009,Certified,Yes,"6,898",118,116,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,117,118,N
INSTITUTE OF SOUTH EAST ASIA STUDIES,"30 HENG MUI KENG TERRACE, SINGAPORE 119614",Commercial Building,Small,2019,Platinum,Yes,"9,882",173,121,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,122,122,N
MARITIME HOUSE,"120 CANTONMENT ROAD, SINGAPORE 089760",Commercial Building,Small,N/A,N/A,No,"7,428",120,122,Y
N/A,"10 RAEBURN PARK, SINGAPORE 088702",Commercial Building,Small,N/A,N/A,No,"14,893",113,124,Y
THE CHADWICK,"81 SCIENCE PARK DRIVE, SINGAPORE 118257",Commercial Building,Small,N/A,N/A,No,"7,816",204,125,Y
TECHQUEST,"7 INTERNATIONAL BUSINESS PARK, SINGAPORE 609919",Commercial Building,Small,N/A,N/A,No,"8,500",127,129,Y
N/A,"16 INTERNATIONAL BUSINESS PARK, SINGAPORE 609929",Commercial Building,Small,N/A,N/A,No,"6,359",149,131,Y
SINGAPORE INSTITUTE OF MANAGEMENT,"41 NAMLY AVENUE, SINGAPORE 267616",Commercial Building,Small,N/A,N/A,No,"10,063",141,132,Y
KEMBANGAN-CHAI CHEE COMMUNITY HUB,"11 JALAN UBI, SINGAPORE 409074",Commercial Building,Small,N/A,N/A,No,"6,978",133,133,Y
BOON SIEW BUILDING,"75 BUKIT TIMAH ROAD, SINGAPORE 229833",Commercial Building,Small,N/A,N/A,No,"11,950",130,134,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,136,137,N
N/A,"3 HAVELOCK SQUARE, SINGAPORE 059725",Commercial Building,Small,N/A,N/A,No,"10,700",140,142,Y
NORTH BRIDGE CENTRE,"420 NORTH BRIDGE ROAD, SINGAPORE 188727",Commercial Building,Small,2014,Gold,Yes,"9,164",137,144,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,168,145,N
ROYAL ONE PHILLIP,"1 PHILLIP STREET, SINGAPORE 048692",Commercial Building,Small,N/A,N/A,No,"5,000",130,147,Y
ANSON CENTRE,"51 ANSON ROAD, SINGAPORE 079904",Commercial Building,Small,N/A,N/A,No,"8,675",153,147,Y
FRAGRANCE BUILDING,"168 CHANGI ROAD, SINGAPORE 419730",Commercial Building,Small,N/A,N/A,No,"1,671",132,147,Y
NKF CENTRE,"81 KIM KEAT ROAD, SINGAPORE 328836",Commercial Building,Small,N/A,N/A,No,"11,060",150,149,Y
HIGH STREET PLAZA,"77 HIGH STREET, SINGAPORE 179433",Commercial Building,Small,N/A,N/A,No,"10,418",141,149,Y
JIT POH BUILDING,"19 KEPPEL ROAD, SINGAPORE 089058",Commercial Building,Small,N/A,N/A,No,"7,200",153,150,Y
CROWN AT ROBINSON,"140 ROBINSON ROAD, SINGAPORE 068907",Commercial Building,Small,N/A,N/A,No,"9,453",111,151,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,180,154,N
CENTROPOD @ CHANGI,"80 CHANGI ROAD, SINGAPORE 419715",Commercial Building,Small,N/A,N/A,No,"5,874",142,155,Y
DAS SPEKTRUM@CBP,"9 CHANGI BUSINESS PARK VISTA, SINGAPORE 486041",Commercial Building,Small,2017,Platinum,Yes,"12,767",161,157,Y
ARC 380,"380 JALAN BESAR, SINGAPORE 209000",Commercial Building,Small,N/A,N/A,No,"11,658",74,157,Y
SULTAN-LINK,"61 MOHAMED SULTAN ROAD, SINGAPORE 239001",Commercial Building,Small,2011,Certified,Yes,"2,601",145,157,Y
LAGUN SARI BUILDING,"381 JOO CHIAT ROAD, SINGAPORE 427621",Commercial Building,Small,N/A,N/A,No,"1,965",185,159,Y
TUNG ANN ASSOCIATION BUILDING,"141 CECIL STREET, SINGAPORE 069541",Commercial Building,Small,N/A,N/A,No,"5,934",173,161,Y
FAR EASTERN BANK BUILDING,"156 CECIL STREET, SINGAPORE 069544",Commercial Building,Small,N/A,N/A,No,"11,315",158,163,Y
THE GLOBE,"100 CECIL STREET, SINGAPORE 069532",Commercial Building,Small,N/A,N/A,No,"5,824",168,163,Y
TEMPCO TECHNOMINIUM,"16 AYER RAJAH CRESCENT, SINGAPORE 139965",Commercial Building,Small,N/A,N/A,No,"11,470",179,164,Y
BEACH CENTRE,"15 BEACH ROAD, SINGAPORE 189677",Commercial Building,Small,2016,Platinum,Yes,"7,669",179,164,Y
TOKIO MARINE CENTRE,"20 MCCALLUM STREET, SINGAPORE 069046",Commercial Building,Small,2008,GoldPlus,Yes,"14,671",160,165,Y
ABACUS PLAZA,"3 TAMPINES CENTRAL 1, SINGAPORE 529540",Commercial Building,Small,N/A,N/A,No,"10,416",188,165,Y
GRACE GLOBAL RAFFLES,"137 MARKET STREET, SINGAPORE 048943",Commercial Building,Small,2009,GoldPlus,Yes,"5,030",165,166,Y
CIVIL SERVICE COLLEGE,"31 NORTH BUONA VISTA ROAD, SINGAPORE 275983",Commercial Building,Small,N/A,N/A,No,"12,709",180,168,Y
CHOA CHU KANG CENTRE,"309 CHOA CHU KANG AVENUE 4, SINGAPORE 680309",Commercial Building,Small,N/A,N/A,No,"11,015",176,174,Y
OCBC CAMPUS,"260 TANJONG PAGAR ROAD, SINGAPORE 088542",Commercial Building,Small,N/A,N/A,No,"4,024",160,175,Y
CECIL COURT,"138 CECIL STREET, SINGAPORE 069538",Commercial Building,Small,N/A,N/A,No,"10,926",183,176,Y
ENABLING VILLAGE,"20 LENGKOK BAHRU, SINGAPORE 159053",Commercial Building,Small,N/A,N/A,No,"14,622",162,178,Y
SCDF HQ 4TH CD DIVISION,"80 BUKIT BATOK ROAD, SINGAPORE 658072",Commercial Building,Small,N/A,N/A,No,"14,060",173,179,Y
N/A,"120 ROBINSON ROAD, SINGAPORE 068913",Commercial Building,Small,N/A,N/A,No,"7,428",181,179,Y
GENTING CENTRE,"3 LIM TECK KIM ROAD, SINGAPORE 088934",Commercial Building,Small,N/A,N/A,No,"12,948",224,183,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,171,184,N
N/A,"14 INTERNATIONAL BUSINESS PARK, SINGAPORE 609922",Commercial Building,Small,N/A,N/A,No,"8,838",191,184,Y
ONE FINLAYSON GREEN,"1 FINLAYSON GREEN, SINGAPORE 049246",Commercial Building,Small,N/A,N/A,No,"10,403",188,186,Y
KING'S CENTRE,"390 HAVELOCK ROAD, SINGAPORE 169662",Commercial Building,Small,2017,Platinum,Yes,"10,852",205,188,Y
SCDF HQ 3RD CD DIVISION,"533 YISHUN INDUSTRIAL PARK A, SINGAPORE 768774",Commercial Building,Small,N/A,N/A,No,"14,337",198,188,Y
N/A,"30 HILL STREET, SINGAPORE 179360",Commercial Building,Small,2016,Gold,Yes,"11,427",205,189,Y
MYP PLAZA,"135 CECIL STREET, SINGAPORE 069536",Commercial Building,Small,N/A,N/A,No,"9,374",192,191,Y
N/A,"11 TAMPINES CONCOURSE, SINGAPORE 528729",Commercial Building,Small,2018,GoldPlus,Yes,"11,520",196,192,Y
ANSON HOUSE,"72 ANSON ROAD, SINGAPORE 079911",Commercial Building,Small,N/A,N/A,No,"9,673",194,195,Y
MACDONALD HOUSE,"40A ORCHARD ROAD, SINGAPORE 238838",Commercial Building,Small,N/A,N/A,No,"9,000",188,196,Y
THE CURIE,"83 SCIENCE PARK DRIVE, SINGAPORE 118258",Commercial Building,Small,N/A,N/A,No,"7,816",195,198,Y
ROYAL GROUP BUILDING,"3 PHILLIP STREET, SINGAPORE 048693",Commercial Building,Small,N/A,N/A,No,"10,580",201,199,Y
ROBINSON 112,"112 ROBINSON ROAD, SINGAPORE 068902",Commercial Building,Small,N/A,N/A,No,"10,720",200,201,Y
N/A,"158 CECIL STREET, SINGAPORE 069545",Commercial Building,Small,2019,Gold,Yes,"11,977",218,203,Y
TAMPINES PLAZA,"5 TAMPINES CENTRAL 1, SINGAPORE 529541",Commercial Building,Small,N/A,N/A,No,"10,417",193,208,Y
BOC PLAZA,"133 MIDDLE ROAD, SINGAPORE 188974",Commercial Building,Small,N/A,N/A,No,"4,736",208,211,Y
N/A,"137 TELOK AYER STREET, SINGAPORE 068602",Commercial Building,Small,N/A,N/A,No,"9,233",223,214,Y
NATIONAL DESIGN CENTRE,"111 MIDDLE ROAD, SINGAPORE 188969",Commercial Building,Small,2016,Platinum,Yes,"7,860",196,215,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,227,221,N
SENTOSA DEVELOPMENT CORPORATION OFFICE,"39 ARTILLERY AVENUE, SINGAPORE 099958",Commercial Building,Small,2017,Gold,Yes,"5,345",206,222,Y
N/A,"1 CHANGI BUSINESS PARK AVENUE 1, SINGAPORE 486058",Commercial Building,Small,N/A,N/A,No,"11,555",193,222,Y
MRTC HEADQUARTERS,"251 NORTH BRIDGE ROAD, SINGAPORE 179102",Commercial Building,Small,N/A,N/A,No,"9,938",217,223,Y
NEWTON 200,"200 NEWTON ROAD, SINGAPORE 307983",Commercial Building,Small,N/A,N/A,No,"4,027",222,226,Y
CPF JURONG BUILDING,"21 JURONG GATEWAY ROAD, SINGAPORE 608546",Commercial Building,Small,N/A,N/A,No,"4,745",228,228,Y
MAXWELL CHAMBERS,"32 MAXWELL ROAD, SINGAPORE 069115",Commercial Building,Small,N/A,N/A,No,"6,981",274,230,Y
ALFA CENTRE,"99 BUKIT TIMAH ROAD, SINGAPORE 229835",Commercial Building,Small,N/A,N/A,No,"7,526",255,231,Y
N/A,"50 SCOTTS ROAD, SINGAPORE 228242",Commercial Building,Small,2017,Gold,Yes,"13,553",250,237,Y
INCOME AT TAMPINES POINT,"2 TAMPINES CENTRAL 6, SINGAPORE 529483",Commercial Building,Small,N/A,N/A,No,"10,950",248,245,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,248,245,N
STAMFORD COURT,"61 STAMFORD ROAD, SINGAPORE 178892",Commercial Building,Small,N/A,N/A,No,"6,832",282,250,Y
TAN CHONG TOWER,"15 QUEEN STREET, SINGAPORE 188537",Commercial Building,Small,N/A,N/A,No,"10,471",235,250,Y
NEW BRIDGE CENTRE,"336 SMITH STREET, SINGAPORE 050336",Commercial Building,Small,N/A,N/A,No,"10,678",262,259,Y
ORCHARD BUILDING,"1 GRANGE ROAD, SINGAPORE 239693",Commercial Building,Small,2018,Gold,Yes,"13,627",263,259,Y
N/A,"2 LENGKOK BAHRU, SINGAPORE 159047",Commercial Building,Small,N/A,N/A,No,"5,199",252,264,Y
SIF BUILDING,"96 ROBINSON ROAD, SINGAPORE 068899",Commercial Building,Small,N/A,N/A,No,"7,684",245,264,Y
HPL HOUSE,"50 CUSCADEN ROAD, SINGAPORE 249724",Commercial Building,Small,N/A,N/A,No,"7,372",269,265,Y
BURLINGTON SQUARE,"175 BENCOOLEN STREET, SINGAPORE 189649",Commercial Building,Small,N/A,N/A,No,"11,080",274,267,Y
SINGAPORE POOLS BUILDING,"210 MIDDLE ROAD, SINGAPORE 188994",Commercial Building,Small,2013,GoldPlus,Yes,"13,121",264,272,Y
BEA BUILDING,"60 ROBINSON ROAD, SINGAPORE 068892",Commercial Building,Small,N/A,N/A,No,"7,783",292,274,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,316,275,N
PIL BUILDING,"140 CECIL STREET, SINGAPORE 069540",Commercial Building,Small,N/A,N/A,No,"12,656",300,276,Y
GREAT EASTERN HOUSE,"49 BEACH ROAD, SINGAPORE 189685",Commercial Building,Small,N/A,N/A,No,"2,295",310,279,Y
N/A,"93 HOUGANG AVENUE 4, SINGAPORE 538832",Commercial Building,Small,N/A,N/A,No,"5,276",284,279,Y
THE CRIMSON,"31 SCIENCE PARK ROAD, SINGAPORE 117611",Commercial Building,Small,N/A,N/A,No,"11,291",285,281,Y
GUTHRIE HOUSE,"1 FIFTH AVENUE, SINGAPORE 268802",Commercial Building,Small,N/A,N/A,No,"8,908",302,283,Y
ISCA HOUSE,"60 CECIL STREET, SINGAPORE 049709",Commercial Building,Small,N/A,N/A,No,"2,644",312,298,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,Yes,N/A,295,309,N
NEW WORLD CENTRE,"1 JALAN BERSEH, SINGAPORE 209037",Commercial Building,Small,N/A,N/A,No,"8,625",317,325,Y
MAYBANK TOWER,"2 BATTERY ROAD, SINGAPORE 049907",Commercial Building,Small,N/A,N/A,No,"14,989",355,352,Y
SULTAN-LINK,"53 MOHAMED SULTAN ROAD, SINGAPORE 238993",Commercial Building,Small,2011,Certified,Yes,"2,181",272,358,Y
OCBC CENTRE SOUTH,"18 CHURCH STREET, SINGAPORE 049479",Commercial Building,Small,2016,Gold,Yes,"11,047",397,400,Y
THE CAVENDISH,"85 SCIENCE PARK DRIVE, SINGAPORE 118259",Commercial Building,Small,N/A,N/A,No,"8,760",870,562,Y
BISHAN SPORTS HALL,"5 BISHAN STREET 14, SINGAPORE 579783",Commercial Building,Small,N/A,N/A,No,"2,375",530,587,Y
CPF BISHAN BUILDING,"3 BISHAN PLACE, SINGAPORE 579838",Commercial Building,Small,N/A,N/A,No,"8,060",796,717,Y
N/A,"1 MANDAI QUARRY ROAD, SINGAPORE 728635",Commercial Building,Small,N/A,N/A,No,"2,775",762,724,Y
THE ARIES,"51 SCIENCE PARK ROAD, SINGAPORE 117586",Commercial Building,Small,N/A,N/A,No,"14,695",724,751,Y
MIWORLD,"9 INTERNATIONAL BUSINESS PARK, SINGAPORE 609915",Commercial Building,Small,2019,Gold,Yes,"10,960",744,768,Y
SUNSHINE PLAZA,"10 PRINSEP LINK, SINGAPORE 187948",Commercial Building,Small,N/A,N/A,No,"10,555",797,786,Y
N/A,"8 LOWER DELTA ROAD, SINGAPORE 169198",Commercial Building,Small,N/A,N/A,No,"9,507",862,871,Y
N/A,"450 ALEXANDRA ROAD, SINGAPORE 119960",Commercial Building,Small,N/A,N/A,No,"14,486",2,2,Y
RELC BUILDING,"30 ORANGE GROVE ROAD, SINGAPORE 258352",Commercial Building,Large,2016,GoldPlus,Yes,"21,466",101,97,Y
ALEXANDRA CENTRAL,"323 ALEXANDRA ROAD, SINGAPORE 159972",Commercial Building,Large,N/A,N/A,No,"13,572",109,111,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,137,144,N
PARK ROCHESTER AVENUE,"31 ROCHESTER DRIVE, SINGAPORE 138637",Commercial Building,Large,2009,Gold,Yes,"18,881",164,167,Y
PARKROYAL ON KITCHENER ROAD,"181 KITCHENER ROAD, SINGAPORE 208533",Commercial Building,Large,2014,Platinum,Yes,"37,721",181,173,Y
30 BENCOOLEN,"30 BENCOOLEN STREET, SINGAPORE 189621",Commercial Building,Large,N/A,N/A,No,"7,141",187,184,Y
HOTEL MIRAMAR,"401 HAVELOCK ROAD, SINGAPORE 169631",Commercial Building,Large,2019,Gold,Yes,"23,554",184,185,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,214,187,N
GRAND PARK CITY HALL,"10 COLEMAN STREET, SINGAPORE 179809",Commercial Building,Large,2017,Platinum,Yes,"20,348",179,190,Y
CENTRAL SQUARE,"20 HAVELOCK ROAD, SINGAPORE 059765",Commercial Building,Large,N/A,N/A,No,"17,068",182,192,Y
8 ON CLAYMORE,"8 CLAYMORE HILL, SINGAPORE 229572",Commercial Building,Large,2012,Gold,Yes,"13,539",201,199,Y
ASCOTT SINGAPORE RAFFLES PLACE,"2 FINLAYSON GREEN, SINGAPORE 049247",Commercial Building,Large,2008,Certified,Yes,"16,105",210,201,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,235,203,N
SWISSOTEL MERCHANT COURT SINGAPORE,"20 MERCHANT ROAD, SINGAPORE 058281",Commercial Building,Large,2018,Platinum,Yes,"38,054",210,205,Y
VILLAGE HOTEL KATONG,"25 MARINE PARADE, SINGAPORE 449536",Commercial Building,Large,2013,Certified,Yes,"22,540",211,209,Y
M HOTEL,"81 ANSON ROAD, SINGAPORE 079908",Commercial Building,Large,2018,GoldPlus,Yes,"31,033",216,210,Y
CONCORDE SHOPPING CENTRE,"317 OUTRAM ROAD, SINGAPORE 169075",Commercial Building,Large,2018,GoldPlus,Yes,"54,042",216,213,Y
RAFFLES HOTEL,"1 BEACH ROAD, SINGAPORE 189673",Commercial Building,Large,N/A,N/A,No,"43,360",N/A,215,Y
MANDARIN ORCHARD SINGAPORE,"333 ORCHARD ROAD, SINGAPORE 238867",Commercial Building,Large,2016,Certified,Yes,"127,860",217,215,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,316,216,N
VILLAGE HOTEL ALBERT COURT,"180 ALBERT STREET, SINGAPORE 189971",Commercial Building,Large,2015,Platinum,Yes,"11,426",212,219,Y
VILLAGE HOTEL CHANGI,"1 NETHERAVON ROAD, SINGAPORE 508502",Commercial Building,Large,N/A,N/A,No,"22,826",226,222,Y
HOLIDAY INN SINGAPORE ORCHARD CITY CENTRE,"11 CAVENAGH ROAD, SINGAPORE 229616",Commercial Building,Large,N/A,N/A,No,"31,251",263,222,Y
HOTEL ROYAL @ QUEENS,"12 QUEEN STREET, SINGAPORE 188553",Commercial Building,Large,2016,Gold,Yes,"12,565",230,226,Y
PENINSULA SHOPPING COMPLEX,"3 COLEMAN STREET, SINGAPORE 179804",Commercial Building,Large,2019,GoldPlus,Yes,"51,487",243,230,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,226,231,N
FURAMA CITY CENTRE SINGAPORE,"60 EU TONG SEN STREET, SINGAPORE 059804",Commercial Building,Large,2017,Platinum,Yes,"25,857",232,234,Y
HOTEL GRAND PACIFIC,"101 VICTORIA STREET, SINGAPORE 188018",Commercial Building,Large,N/A,N/A,No,"14,950",236,236,Y
GENTING HOTEL JURONG,"2 TOWN HALL LINK, SINGAPORE 608516",Commercial Building,Large,2015,Platinum,Yes,"19,147",251,239,Y
KATONG SQUARE,"86 EAST COAST ROAD, SINGAPORE 428788",Commercial Building,Large,2015,Platinum,Yes,"25,200",261,240,Y
CAPRI BY FRASER CHANGI CITY,"3 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486037",Commercial Building,Large,2012,GoldPlus,Yes,"18,975",246,240,Y
"ORCHARD RENDEZVOUS HOTEL, SINGAPORE","1 TANGLIN ROAD, SINGAPORE 247905",Commercial Building,Large,2014,Gold,Yes,"26,657",238,241,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,249,242,N
NOVOTEL SINGAPORE CLARKE QUAY,"177A RIVER VALLEY ROAD, SINGAPORE 179031",Commercial Building,Large,2017,GoldPlus,Yes,"28,548",240,242,Y
GOODWOOD PARK HOTEL,"16 SCOTTS ROAD, SINGAPORE 228221",Commercial Building,Large,2019,Gold,Yes,"29,616",247,247,Y
N/A,"50 TIONG BAHRU ROAD, SINGAPORE 168733",Commercial Building,Large,N/A,N/A,No,"10,194",222,248,Y
SHERATON TOWERS HOTEL,"39 SCOTTS ROAD, SINGAPORE 228230",Commercial Building,Large,2019,Platinum,Yes,"31,224",249,250,Y
COPTHORNE KING'S HOTEL,"403 HAVELOCK ROAD, SINGAPORE 169632",Commercial Building,Large,2014,Platinum,Yes,"17,598",250,251,Y
QUALITY HOTEL MARLOW,"201 BALESTIER ROAD, SINGAPORE 329926",Commercial Building,Large,N/A,N/A,No,"10,136",268,252,Y
N/A,"405 HAVELOCK ROAD, SINGAPORE 169633",Commercial Building,Large,2018,Platinum,Yes,"37,570",256,254,Y
SINGAPORE MARRIOTT TANG PLAZA HOTEL,"320 ORCHARD ROAD, SINGAPORE 238865",Commercial Building,Large,2017,Gold,Yes,"76,504",258,254,Y
GRAND COPTHORNE WATERFRONT,"392 HAVELOCK ROAD, SINGAPORE 169663",Commercial Building,Large,2018,Platinum,Yes,"51,726",256,257,Y
N/A,"51 IMBIAH WALK, SINGAPORE 099538",Commercial Building,Large,N/A,N/A,No,"8,651",261,260,Y
CARLTON HOTEL,"76 BRAS BASAH ROAD, SINGAPORE 189558",Commercial Building,Large,N/A,N/A,No,"59,329",277,261,Y
N/A,"96 SOMERSET ROAD, SINGAPORE 238163",Commercial Building,Large,N/A,N/A,No,"12,401",259,263,Y
ROBERTSON WALK,"11 UNITY STREET, SINGAPORE 237995",Commercial Building,Large,N/A,N/A,No,"30,784",266,268,Y
HOLIDAY INN EXPRESS SINGAPORE CLARKE QUAY,"2 MAGAZINE ROAD, SINGAPORE 059573",Commercial Building,Large,2017,Platinum,Yes,"11,783",263,268,Y
CARLTON CITY SINGAPORE,"1 GOPENG STREET, SINGAPORE 078862",Commercial Building,Large,2017,Platinum,Yes,"20,331",272,270,Y
THE ELIZABETH,"24 MOUNT ELIZABETH, SINGAPORE 228518",Commercial Building,Large,N/A,N/A,No,"16,872",254,275,Y
HOTEL JEN TANGLIN SINGAPORE,"1A CUSCADEN ROAD, SINGAPORE 249716",Commercial Building,Large,2018,GoldPlus,Yes,"26,385",287,284,Y
N/A,"22 CAVENAGH ROAD, SINGAPORE 229617",Commercial Building,Large,2015,Certified,Yes,"8,140",283,285,Y
"FOUR POINTS BY SHERATON SINGAPORE, RIVERVIEW","382 HAVELOCK ROAD, SINGAPORE 169629",Commercial Building,Large,2017,Gold,Yes,"21,089",295,290,Y
RENDEZVOUS HOTEL SINGAPORE,"9 BRAS BASAH ROAD, SINGAPORE 189559",Commercial Building,Large,2017,GoldPlus,Yes,"19,720",308,292,Y
FOUR SEASONS HOTEL,"190 ORCHARD BOULEVARD, SINGAPORE 248646",Commercial Building,Large,N/A,N/A,No,"34,630",301,303,Y
HOTEL CHANCELLOR @ ORCHARD,"28 CAVENAGH ROAD, SINGAPORE 229635",Commercial Building,Large,2015,Certified,Yes,"13,742",275,304,Y
PS100,"100 PECK SEAH STREET, SINGAPORE 079333",Commercial Building,Large,N/A,N/A,No,"17,198",305,308,Y
PARK HOTEL CLARKE QUAY,"1 UNITY STREET, SINGAPORE 237983",Commercial Building,Large,N/A,N/A,No,"11,050",314,316,Y
GRAND PARK ORCHARD,"270 ORCHARD ROAD, SINGAPORE 238857",Commercial Building,Large,N/A,N/A,No,"22,606",298,317,Y
PARKROYAL ON PICKERING,"3 UPPER PICKERING STREET, SINGAPORE 058289",Commercial Building,Large,2013,Platinum,Yes,"29,227",309,321,Y
N/A,"1 THE KNOLLS, SINGAPORE 098297",Commercial Building,Large,N/A,N/A,No,"42,461",326,323,Y
SO SOFITEL SINGAPORE,"35 ROBINSON ROAD, SINGAPORE 068876",Commercial Building,Large,2016,Platinum,Yes,"7,450",328,329,Y
ORCHID HOTEL,"1 TRAS LINK, SINGAPORE 078867",Commercial Building,Large,N/A,N/A,No,"16,026",323,331,Y
N/A,"170 BENCOOLEN STREET, SINGAPORE 189657",Commercial Building,Large,N/A,N/A,No,"15,022",320,332,Y
SHANGRI-LA HOTEL,"22 ORANGE GROVE ROAD, SINGAPORE 258350",Commercial Building,Large,2017,Gold,Yes,"79,709",365,353,Y
PREMIER INN,"700 BEACH ROAD, SINGAPORE 199598",Commercial Building,Large,N/A,N/A,No,"7,093",331,355,Y
PARK REGIS SINGAPORE,"23 MERCHANT ROAD, SINGAPORE 058268",Commercial Building,Large,N/A,N/A,No,"12,264",128,356,Y
