Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
THE CENTRAL,EU TONG SEN STREET,Office,"1,630,000",602.78,"2,704",Dec-25,Strata,56,"29,107",99 yrs lease commencing from 2001,01,11 to 15
INTERNATIONAL PLAZA,ANSON ROAD,Office,"940,000",473.62,"1,985",Dec-25,Strata,44,"21,364",99 yrs lease commencing from 1970,02,06 to 10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,445,400",656.6,"2,201",Dec-25,Strata,61,"23,695",999 yrs lease commencing from 1829,06,06 to 10
ORCHARD TOWERS,ORCHARD ROAD,Office,"745,000",301.39,"2,472",Dec-25,Strata,28,"26,607",Freehold,09,06 to 10
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"1,450,000","1,065.64","1,361",Dec-25,Strata,99,"14,646",99 yrs lease commencing from 1970,01,06 to 10
VISION EXCHANGE,VENTURE DRIVE,Office,"1,335,000",764.24,"1,747",Nov-25,Strata,71,"18,803",99 yrs lease commencing from 2013,22,11 to 15
HAVELOCK2,HAVELOCK ROAD,Office,"2,002,000","1,259.39","1,590",Nov-25,Strata,117,"17,111",99 yrs lease commencing from 1983,01,06 to 10
N.A.,ARMENIAN STREET,Office,"3,550,000","1,280.92","2,771",Nov-25,Strata,119,"29,832",99 yrs lease commencing from 2007,06,01 to 05
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"738,000",462.85,"1,594",Nov-25,Strata,43,"17,163",Freehold,14,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"4,893,075","1,485.43","3,294",Nov-25,Strata,138,"35,457",99 yrs lease commencing from 2001,01,16 to 20
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"450,000",215.28,"2,090",Nov-25,Strata,20,"22,500",99 yrs lease commencing from 1980,03,B1 to B5
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,207,752",559.73,"2,158",Nov-25,Strata,52,"23,226",99 yrs lease commencing from 2014,25,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,207,748",559.73,"2,158",Nov-25,Strata,52,"23,226",99 yrs lease commencing from 2014,25,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,229,519",559.73,"2,197",Nov-25,Strata,52,"23,645",99 yrs lease commencing from 2014,25,11 to 15
REHAU BUILDING,KING GEORGE'S AVENUE,Office,"40,000,000","5,612.35","7,127",Nov-25,Land,521.4,"76,717",Freehold,08,-
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,250,000",968.76,"2,323",Nov-25,Strata,90,"25,000",99 yrs lease commencing from 2011,14,06 to 10
