Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
WISMA ATRIA,ORCHARD ROAD,Office,"1,745,045",828.83,"2,105",Aug-25,Strata,77,"22,663",99 yrs lease commencing from 1962,09,16 to 20
THE RIVERSIDE PIAZZA,KENG CHEOW STREET,Office,"1,350,000",828.83,"1,629",Aug-25,Strata,77,"17,532",99 yrs lease commencing from 1992,01,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,020,000",301.39,"3,384",Aug-25,Strata,28,"36,429",999 yrs lease commencing from 1829,06,01 to 05
TEXTILE CENTRE,JALAN SULTAN,Office,"1,038,888",893.41,"1,163",Aug-25,Strata,83,"12,517",99 yrs lease commencing from 1970,07,11 to 15
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"1,218,000",355.21,"3,429",Aug-25,Strata,33,"36,909",999 yrs lease commencing from 1871,09,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"1,027,500",548.96,"1,872",Aug-25,Strata,51,"20,147",99 yrs lease commencing from 1969,06,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,963,487","1,044.11","1,881",Aug-25,Strata,97,"20,242",999 yrs lease commencing from 1829,06,06 to 10
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,"1,625,000",322.92,"5,032",Aug-25,Strata,30,"54,167",99 yrs lease commencing from 1968,01,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"680,000",172.22,"3,948",Aug-25,Strata,16,"42,500",Freehold,15,B1 to B5
CENTRIUM SQUARE,SERANGOON ROAD,Office,"2,450,000",979.52,"2,501",Aug-25,Strata,91,"26,923",Freehold,08,11 to 15
THE PLAZA,BEACH ROAD,Office,"705,000",430.56,"1,637",Aug-25,Strata,40,"17,625",99 yrs lease commencing from 1968,07,11 to 15
SBF CENTER,ROBINSON ROAD,Office,"3,080,000",947.23,"3,252",Aug-25,Strata,88,"35,000",99 yrs lease commencing from 2011,01,21 to 25
THE CENTRAL,EU TONG SEN STREET,Office,"1,835,000",635.08,"2,889",Aug-25,Strata,59,"31,102",99 yrs lease commencing from 2001,01,11 to 15
WING FONG BUILDING,GUILLEMARD ROAD,Office,"3,100,000","3,401.42",911,Jul-25,Strata,316,"9,810",Freehold,14,-
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,155,000",441.32,"2,617",Jul-25,Strata,41,"28,171",999 yrs lease commencing from 1829,06,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,830,000",635.08,"2,882",Jul-25,Strata,59,"31,017",99 yrs lease commencing from 2001,01,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,183,633",559.73,"2,115",Jul-25,Strata,52,"22,762",99 yrs lease commencing from 2014,25,06 to 10
PS100,PECK SEAH STREET,Office,"1,330,000",473.62,"2,808",Jul-25,Strata,44,"30,227",99 yrs lease commencing from 2011,02,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"2,271,000","1,033.34","2,198",Jul-25,Strata,96,"23,656",99 yrs lease commencing from 2014,25,06 to 10
SOHO LIFE,JOO CHIAT ROAD,Office,"1,188,000",581.26,"2,044",Jul-25,Strata,54,"22,000",Freehold,15,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,660,000",936.47,"1,773",Jul-25,Strata,87,"19,080",99 yrs lease commencing from 1970,02,26 to 30
VISION EXCHANGE,VENTURE DRIVE,Office,"13,586,000","5,844.85","2,324",Jul-25,Strata,543,"25,020",99 yrs lease commencing from 2013,22,21 to 25
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,060,000",559.73,"1,894",Jul-25,Strata,52,"20,385",99 yrs lease commencing from 2014,25,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,770,000",839.59,"2,108",Jul-25,Strata,78,"22,692",99 yrs lease commencing from 2011,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,490,000",635.08,"2,346",Jul-25,Strata,59,"25,254",99 yrs lease commencing from 2011,14,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"850,000",462.85,"1,836",Jul-25,Strata,43,"19,767",99 yrs lease commencing from 1970,02,31 to 35
INTERNATIONAL PLAZA,ANSON ROAD,Office,"850,000",462.85,"1,836",Jul-25,Strata,43,"19,767",99 yrs lease commencing from 1970,02,31 to 35
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"1,040,390",688.9,"1,510",Jul-25,Strata,64,"16,256",Freehold,15,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"4,900,000","1,776.06","2,759",Jul-25,Strata,165,"29,697",999 yrs lease commencing from 1829,06,21 to 25
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"920,000",333.68,"2,757",Jul-25,Strata,31,"29,677",999 yrs lease commencing from 1829,06,01 to 05
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"8,100,000","2,195.86","3,689",Jul-25,Strata,204,"39,706",99 yrs lease commencing from 1989,01,36 to 40
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,172,000",484.38,"2,420",Jul-25,Strata,45,"26,044",99 yrs lease commencing from 2011,14,06 to 10
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"850,000",613.55,"1,385",Jul-25,Strata,57,"14,912",Freehold,14,01 to 05
THE ARCADE,COLLYER QUAY,Office,"3,750,000","1,603.84","2,338",Jul-25,Strata,149,"25,168",99 yrs lease commencing from 1980,01,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,200,000",958,"2,296",Jul-25,Strata,89,"24,719",99 yrs lease commencing from 2011,14,06 to 10
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"405,000",516.67,784,Jul-25,Strata,48,"8,438",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"405,000",516.67,784,Jul-25,Strata,48,"8,438",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"413,000",527.44,783,Jul-25,Strata,49,"8,429",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"472,000",602.78,783,Jul-25,Strata,56,"8,429",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"455,000",581.26,783,Jul-25,Strata,54,"8,426",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"505,000",645.84,782,Jul-25,Strata,60,"8,417",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"413,000",527.44,783,Jul-25,Strata,49,"8,429",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"421,000",538.2,782,Jul-25,Strata,50,"8,420",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"547,000",699.66,782,Jul-25,Strata,65,"8,415",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"270,000",344.45,784,Jul-25,Strata,32,"8,438",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"539,000",688.9,782,Jul-25,Strata,64,"8,422",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"480,000",613.55,782,Jul-25,Strata,57,"8,421",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"505,000",645.84,782,Jul-25,Strata,60,"8,417",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"497,000",635.08,783,Jul-25,Strata,59,"8,424",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"413,000",527.44,783,Jul-25,Strata,49,"8,429",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"522,000",667.37,782,Jul-25,Strata,62,"8,419",99 yrs lease commencing from 1969,03,01 to 05
SOHO LIFE,JOO CHIAT ROAD,Office,"768,000",344.45,"2,230",Jul-25,Strata,32,"24,000",Freehold,15,01 to 05
INTERNATIONAL PLAZA,ANSON ROAD,Office,"898,000",462.85,"1,940",Jul-25,Strata,43,"20,884",99 yrs lease commencing from 1970,02,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,710,000",645.84,"2,648",Jul-25,Strata,60,"28,500",99 yrs lease commencing from 2001,01,16 to 20
THE PLAZA,BEACH ROAD,Office,"365,000",226.04,"1,615",Jul-25,Strata,21,"17,381",99 yrs lease commencing from 1968,07,01 to 05
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"33,966,000","10,096.63","3,364",Jul-25,Strata,938,"36,211",99 yrs lease commencing from 1989,01,31 to 35
THE PLAZA,BEACH ROAD,Office,"373,500",279.86,"1,335",Jun-25,Strata,26,"14,365",99 yrs lease commencing from 1968,07,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"522,000",667.37,782,Jun-25,Strata,62,"8,419",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"505,000",645.84,782,Jun-25,Strata,60,"8,417",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"505,000",645.84,782,Jun-25,Strata,60,"8,417",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"455,000",581.26,783,Jun-25,Strata,54,"8,426",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"363,000",462.85,784,Jun-25,Strata,43,"8,442",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"253,000",322.92,783,Jun-25,Strata,30,"8,433",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"514,000",656.6,783,Jun-25,Strata,61,"8,426",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"514,000",656.6,783,Jun-25,Strata,61,"8,426",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"488,000",624.31,782,Jun-25,Strata,58,"8,414",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"413,000",527.44,783,Jun-25,Strata,49,"8,429",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"598,000",764.24,782,Jun-25,Strata,71,"8,423",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"455,000",581.26,783,Jun-25,Strata,54,"8,426",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"371,000",473.62,783,Jun-25,Strata,44,"8,432",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"505,000",645.84,782,Jun-25,Strata,60,"8,417",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"665,000",850.36,782,Jun-25,Strata,79,"8,418",99 yrs lease commencing from 1969,03,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"405,000",516.67,784,Jun-25,Strata,48,"8,438",99 yrs lease commencing from 1969,03,01 to 05
ALEXANDRA CENTRAL,ALEXANDRA ROAD,Office,"960,000",581.26,"1,652",Jun-25,Strata,54,"17,778",99 yrs lease commencing from 2012,03,01 to 05
EON SHENTON,SHENTON WAY,Office,"4,250,000","1,765.3","2,408",Jun-25,Strata,164,"25,915",99 yrs lease commencing from 2011,02,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,760,000",645.84,"2,725",Jun-25,Strata,60,"29,333",99 yrs lease commencing from 2001,01,16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"760,000",398.27,"1,908",Jun-25,Strata,37,"20,541",Freehold,15,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"960,000",516.67,"1,858",Jun-25,Strata,48,"20,000",99 yrs lease commencing from 2013,22,11 to 15
PARKWAY CENTRE,MARINE PARADE CENTRAL,Office,"1,200,000",731.95,"1,639",Jun-25,Strata,68,"17,647",99 yrs lease commencing from 1981,15,06 to 10
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"413,000",527.44,783,Jun-25,Strata,49,"8,429",99 yrs lease commencing from 1969,03,06 to 10
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"346,000",441.32,784,Jun-25,Strata,41,"8,439",99 yrs lease commencing from 1969,03,06 to 10
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"430,000",548.96,783,Jun-25,Strata,51,"8,431",99 yrs lease commencing from 1969,03,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"312,000",398.27,783,Jun-25,Strata,37,"8,432",99 yrs lease commencing from 1969,03,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"405,000",516.67,784,Jun-25,Strata,48,"8,438",99 yrs lease commencing from 1969,03,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"405,000",516.67,784,Jun-25,Strata,48,"8,438",99 yrs lease commencing from 1969,03,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"405,000",516.67,784,Jun-25,Strata,48,"8,438",99 yrs lease commencing from 1969,03,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"363,000",462.85,784,Jun-25,Strata,43,"8,442",99 yrs lease commencing from 1969,03,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"430,000",548.96,783,Jun-25,Strata,51,"8,431",99 yrs lease commencing from 1969,03,11 to 15
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"405,000",516.67,784,Jun-25,Strata,48,"8,438",99 yrs lease commencing from 1969,03,11 to 15
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"3,380,000","1,485.43","2,275",Jun-25,Strata,138,"24,493",999 yrs lease commencing from 1829,06,11 to 15
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"32,310,400","10,096.63","3,200",Jun-25,Strata,938,"34,446",99 yrs lease commencing from 1989,01,36 to 40
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"744,888",473.62,"1,573",Jun-25,Strata,44,"16,929",Freehold,14,01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"930,000",516.67,"1,800",Jun-25,Strata,48,"19,375",99 yrs lease commencing from 2013,22,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,900,000",871.88,"2,179",Jun-25,Strata,81,"23,457",99 yrs lease commencing from 2001,01,16 to 20
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,160,000",484.38,"2,395",Jun-25,Strata,45,"25,778",99 yrs lease commencing from 2011,14,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,202,441",559.73,"2,148",Jun-25,Strata,52,"23,124",99 yrs lease commencing from 2014,25,11 to 15
PS100,PECK SEAH STREET,Office,"1,128,440",473.62,"2,383",Jun-25,Strata,44,"25,646",99 yrs lease commencing from 2011,02,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"3,100,000","2,217.38","1,398",Jun-25,Strata,206,"15,049",99 yrs lease commencing from 1980,07,11 to 15
THE MODULES,JOO CHIAT ROAD,Office,"830,000",398.27,"2,084",Jun-25,Strata,37,"22,432",Freehold,15,01 to 05
MANHATTAN HOUSE,CHIN SWEE ROAD,Office,"575,000",516.67,"1,113",Jun-25,Strata,48,"11,979",99 yrs lease commencing from 1969,03,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"3,388,888","1,345.5","2,519",Jun-25,Strata,125,"27,111",99 yrs lease commencing from 1975,09,06 to 10
N.A.,ROBINSON ROAD,Office,"55,800,000","14,251.54","3,915",May-25,Strata,"1,324","42,145",Freehold,01,11 to 15
ICON@CHANGI,CHANGI ROAD,Office,"638,000",333.68,"1,912",May-25,Strata,31,"20,581",Freehold,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,250,000",505.91,"2,471",May-25,Strata,47,"26,596",99 yrs lease commencing from 2011,14,11 to 15
THE MODULES,JOO CHIAT ROAD,Office,"1,100,000",495.14,"2,222",May-25,Strata,46,"23,913",Freehold,15,01 to 05
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"826,800",688.9,"1,200",May-25,Strata,64,"12,919",99 yrs lease commencing from 1974,07,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"8,000,000","2,238.91","3,573",May-25,Strata,208,"38,462",99 yrs lease commencing from 2011,01,11 to 15
SIM LIM TOWER,JALAN BESAR,Office,"846,944",398.27,"2,127",May-25,Strata,37,"22,890",Freehold,08,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,190,000",559.73,"2,126",May-25,Strata,52,"22,885",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,155,999",548.96,"2,106",May-25,Strata,51,"22,667",99 yrs lease commencing from 2014,25,06 to 10
SIM LIM TOWER,JALAN BESAR,Office,"1,270,000",592.02,"2,145",May-25,Strata,55,"23,091",Freehold,08,11 to 15
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,"690,000",430.56,"1,603",May-25,Strata,40,"17,250",99 yrs lease commencing from 1974,07,01 to 05
SUNSHINE PLAZA,BENCOOLEN STREET,Office,"1,963,144","1,162.51","1,689",May-25,Strata,108,"18,177",99 yrs lease commencing from 1997,07,06 to 10
LUCKY PLAZA,ORCHARD ROAD,Office,"1,636,800",247.57,"6,611",May-25,Strata,23,"71,165",Freehold,09,01 to 05
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,"8,388,888","2,335.79","3,591",May-25,Strata,217,"38,658",99 yrs lease commencing from 1989,01,36 to 40
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"850,000",182.99,"4,645",May-25,Strata,17,"50,000",999 yrs lease commencing from 1871,09,01 to 05
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"398,000",247.57,"1,608",May-25,Strata,23,"17,304",99 yrs lease commencing from 1969,06,01 to 05
PS100,PECK SEAH STREET,Office,"1,488,000",516.67,"2,880",May-25,Strata,48,"31,000",99 yrs lease commencing from 2011,02,11 to 15
ONE SOPHIA,SOPHIA ROAD,Office,"5,117,000","1,539.25","3,324",May-25,Strata,143,"35,783",99 yrs lease commencing from 2023,09,06 to 10
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"335,000",172.22,"1,945",May-25,Strata,16,"20,938",99 yrs lease commencing from 1969,06,01 to 05
PAVILION SQUARE,GEYLANG ROAD,Office,"165,000",129.17,"1,277",May-25,Strata,12,"13,750",Freehold,14,01 to 05
PAVILION SQUARE,GEYLANG ROAD,Office,"165,000",129.17,"1,277",May-25,Strata,12,"13,750",Freehold,14,01 to 05
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,"700,000",215.28,"3,252",May-25,Strata,20,"35,000",999 yrs lease commencing from 1883,21,01 to 05
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,"1,300,000",398.27,"3,264",Apr-25,Strata,37,"35,135",999 yrs lease commencing from 1829,06,01 to 05
N.A.,ROBINSON ROAD,Office,"17,308,720","4,628.52","3,740",Apr-25,Strata,430,"40,253",Freehold,01,01 to 05
N.A.,ROBINSON ROAD,Office,"17,991,130","4,746.92","3,790",Apr-25,Strata,441,"40,796",Freehold,01,06 to 10
HAVELOCK2,HAVELOCK ROAD,Office,"590,000",333.68,"1,768",Apr-25,Strata,31,"19,032",99 yrs lease commencing from 1983,01,06 to 10
SBF CENTER,ROBINSON ROAD,Office,"4,263,280","1,323.97","3,220",Apr-25,Strata,123,"34,661",99 yrs lease commencing from 2011,01,16 to 20
JUNCTION NINE,YISHUN AVENUE 9,Office,"1,450,000",301.39,"4,811",Apr-25,Strata,28,"51,786",99 yrs lease commencing from 2013,27,01 to 05
CENTRIUM SQUARE,SERANGOON ROAD,Office,"1,560,000",613.55,"2,543",Apr-25,Strata,57,"27,368",Freehold,08,06 to 10
ONE SOPHIA,SOPHIA ROAD,Office,"4,511,000","1,442.38","3,127",Apr-25,Strata,134,"33,664",99 yrs lease commencing from 2023,09,01 to 05
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"698,000",215.28,"3,242",Apr-25,Strata,20,"34,900",Freehold,15,01 to 05
ASCENT @ 456,BALESTIER ROAD,Office,"838,000",269.1,"3,114",Apr-25,Strata,25,"33,520",Freehold,12,01 to 05
SBF CENTER,ROBINSON ROAD,Office,"2,100,000",592.02,"3,547",Apr-25,Strata,55,"38,182",99 yrs lease commencing from 2011,01,16 to 20
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"2,150,000","1,097.93","1,958",Apr-25,Strata,102,"21,078",99 yrs lease commencing from 1969,06,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,182,427",559.73,"2,113",Apr-25,Strata,52,"22,739",99 yrs lease commencing from 2014,25,06 to 10
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"15,495,180","4,757.69","3,257",Apr-25,Strata,442,"35,057",99 yrs lease commencing from 1989,01,31 to 35
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"12,164,768","3,735.11","3,257",Apr-25,Strata,347,"35,057",99 yrs lease commencing from 1989,01,31 to 35
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,"12,340,053","3,788.93","3,257",Apr-25,Strata,352,"35,057",99 yrs lease commencing from 1989,01,31 to 35
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,980,000","1,033.34","1,916",Apr-25,Strata,96,"20,625",99 yrs lease commencing from 2014,25,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"917,431",548.96,"1,671",Apr-25,Strata,51,"17,989",99 yrs lease commencing from 2014,25,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,200,000",548.96,"2,186",Apr-25,Strata,51,"23,529",99 yrs lease commencing from 2011,14,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,192,802",559.73,"2,131",Apr-25,Strata,52,"22,939",99 yrs lease commencing from 2014,25,11 to 15
SOHO LIFE,JOO CHIAT ROAD,Office,"800,000",409.03,"1,956",Apr-25,Strata,38,"21,053",Freehold,15,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,600,000",925.7,"2,809",Apr-25,Strata,86,"30,233",99 yrs lease commencing from 2001,01,21 to 25
ICON@CHANGI,CHANGI ROAD,Office,"644,444",365.98,"1,761",Apr-25,Strata,34,"18,954",Freehold,14,01 to 05
SGX CENTRE 2,SHENTON WAY,Office,"12,650,000","4,811.51","2,629",Apr-25,Strata,447,"28,300",99 yrs lease commencing from 1995,01,26 to 30
SGX CENTRE 2,SHENTON WAY,Office,"26,850,000","10,215.04","2,628",Apr-25,Strata,949,"28,293",99 yrs lease commencing from 1995,01,26 to 30
SAMSUNG HUB,CHURCH STREET,Office,"11,058,000","2,561.83","4,316",Apr-25,Strata,238,"46,462",999 yrs lease commencing from 1827,01,16 to 20
SAMSUNG HUB,CHURCH STREET,Office,"13,450,000","3,186.14","4,221",Apr-25,Strata,296,"45,439",999 yrs lease commencing from 1827,01,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,238,000",559.73,"2,212",Apr-25,Strata,52,"23,808",99 yrs lease commencing from 2014,25,11 to 15
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,"820,000",322.92,"2,539",Apr-25,Strata,30,"27,333",Freehold,15,01 to 05
N.A.,ARMENIAN STREET,Office,"3,080,000","1,184.04","2,601",Apr-25,Strata,110,"28,000",99 yrs lease commencing from 2007,06,01 to 05
THE GOLDEN MILE,BEACH ROAD,Office,"4,756,858","1,291.68","3,683",Apr-25,Strata,120,"39,640",99 yrs lease commencing from 2024,07,01 to 05
HOA NAM BUILDING,FOCH ROAD,Office,"600,000",236.81,"2,534",Apr-25,Strata,22,"27,273",Freehold,08,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"4,900,000","1,485.43","3,299",Apr-25,Strata,138,"35,507",99 yrs lease commencing from 2001,01,16 to 20
SAMSUNG HUB,CHURCH STREET,Office,"12,000,000","2,906.28","4,129",Apr-25,Strata,270,"44,444",999 yrs lease commencing from 1827,01,11 to 15
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,622,807",753.48,"2,154",Apr-25,Strata,70,"23,183",99 yrs lease commencing from 2014,25,06 to 10
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"900,000",215.28,"4,181",Apr-25,Strata,20,"45,000",999 yrs lease commencing from 1871,09,01 to 05
ORCHARD TOWERS,ORCHARD ROAD,Office,"1,050,000",398.27,"2,636",Apr-25,Strata,37,"28,378",Freehold,09,11 to 15
HIGH STREET PLAZA,HIGH STREET,Office,"3,500,000","1,291.68","2,710",Apr-25,Strata,120,"29,167",999 yrs lease commencing from 1827,06,01 to 05
